Genus species,can_fly,Class,Order,phylo_dist,Family,phylo_name,Common Name,Typical_Diet,Mass g (mean/median from study),mass-citation-if-not-from-retention-study,Food in Feeding Trial,Feeding.Trial.Food.Cat,N_individuals,N_trials,retention metric description,Minimum (min),IQR_1,Median (min),Mean (min),IQR_3,Maximum (min),SD,SE,mrt (min),mrt_sd,mrt_se,Retention.Citation,Notes,includes keywords,original submision
Alouatta palliata,N,Mammalia,Primates,,Atelidae,Alouatta_palliata,mantled howler monkey,folivore,6450,,"soybean, corn, fruit nectar (high fiber diet) + Cr particle marker",fiber/foliage,2,1,transit time; MRT,,,,270,,,0,,2208,84,,Edwards and Ullrey (1999b),,Y,N
Alouatta palliata mexicana,N,Mammalia,Primates,,Atelidae,Alouatta_palliata,Mexican howler monkey,frugivore,7500,Howler Monkey Animal Facts - Alouatta - A-Z Animals,seeds,fiber/foliage,1,1,passage time,,,,1224,,,,,,,,"Righini, N., Serio-Silva, J.C., Rico-Gray, V. and Martínez-Mota, R. (2004), Effect of different primate species on germination of Ficus (Urostigma) seeds. Zoo Biol., 23: 273-278. https://doi.org/10.1002/zoo.20008",,rate,N
Alouatta pigra,N,Mammalia,Primates,,Atelidae,Alouatta_pigra,Yucatan black howler,frugivore,8900,Yucatán black howler - Wikipedia,seeds,fiber/foliage,1,1,passage time,,,,1380,,,,,,,,"Righini, N., Serio-Silva, J.C., Rico-Gray, V. and Martínez-Mota, R. (2004), Effect of different primate species on germination of Ficus (Urostigma) seeds. Zoo Biol., 23: 273-278. https://doi.org/10.1002/zoo.20009",,rate,N
Alouatta sara,N,Mammalia,Primates,,Atelidae,Alouatta_sara,Bolivian red howler monkey,folivore,8330,,"soybean, corn, fruit nectar (low fiber diet) + acetate bead marker",fiber/foliage,2,1,transit time; MRT,,,,2790,,,2034,,2070,12,,Edwards and Ullrey (1999b),,Y,N
Alouatta sara,N,Mammalia,Primates,,Atelidae,Alouatta_sara,Bolivian red howler monkey,folivore,8330,,"soybean, corn, fruit nectar (low fiber diet) + Co-EDTA liquid marker",fiber/foliage,2,1,transit time; MRT,,,,1350,,,0,,3492,2472,,Edwards and Ullrey (1999b),,Y,N
Alouatta sara,N,Mammalia,Primates,,Atelidae,Alouatta_sara,Bolivian red howler monkey,folivore,8330,,"soybean, corn, fruit nectar (low fiber diet) + Cr particle marker",fiber/foliage,2,1,transit time; MRT,,,,2070,,,1020,,2394,1926,,Edwards and Ullrey (1999b),,Y,N
Alouatta sara,N,Mammalia,Primates,,Atelidae,Alouatta_sara,Bolivian red howler monkey,folivore,8030,,"soybean, corn, fruit nectar (high fiber diet) + acetate bead marker",fiber/foliage,2,1,transit time; MRT,,,,2160,,,888,,1374,768,,Edwards and Ullrey (1999b),,Y,N
Alouatta sara,N,Mammalia,Primates,,Atelidae,Alouatta_sara,Bolivian red howler monkey,folivore,8030,,"soybean, corn, fruit nectar (high fiber diet) + Co-EDTA liquid marker",fiber/foliage,2,1,transit time; MRT,,,,2070,,,1020,,3198,2436,,Edwards and Ullrey (1999b),,Y,N
Alouatta sara,N,Mammalia,Primates,,Atelidae,Alouatta_sara,Bolivian red howler monkey,folivore,8030,,"soybean, corn, fruit nectar (high fiber diet) + Cr particle marker",fiber/foliage,2,1,transit time; MRT,,,,1620,,,126,,2448,2430,,Edwards and Ullrey (1999b),,Y,N
Anas crecca,Y,Aves,Anseriformes,,Anatidae,Anas_crecca,Eurasian Teal,omnivore,360,Eurasian teal - Wikipedia,S. litoralis seeds,fiber/foliage,3,1,transit time,,,,,,,,,1011,123.6,,"Figuerola J, Charalambidou I, Santamaria L, Green AJ (2010) Internal dispersal of seeds by waterfowl: effect of seed size on gut passage time and germination patterns. Naturwissenschaften 97:555-567",,"gut, passage, time",n
