Genus species,can_fly,Class,Order,phylo_dist,Family,phylo_name,Common Name,Typical_Diet,Mass g (mean/median from study),mass-citation-if-not-from-retention-study,Food in Feeding Trial,Feeding.Trial.Food.Cat,N_individuals,N_trials,retention metric description,Minimum (min),IQR_1,Median (min),Mean (min),IQR_3,Maximum (min),SD,SE,mrt (min),mrt_sd,mrt_se,Retention.Citation,Notes,includes keywords,original submision
Anas platyrhynchos,Y,Aves,Anseriformes,,Anatidae,Anas_platyrhynchos,mallard duck,omnivore,1180,,seeds,fiber/foliage,8,1,mean retention time,,,,,,,,,178,6.888888889,,"Kleyheeg E, Van Leeuwen CH, Morison MA, Nolet BA, Soons MB (2015) Bird‐mediated seed dispersal: reduced digestive efficiency in active birds modulates the dispersal capacity of plant seeds. Oikos 124:899-907",,"gut, passage, time",n
Anas platyrhynchos,Y,Aves,Anseriformes,,Anatidae,Anas_platyrhynchos,mallard duck,omnivore,1120,Mallard - Wikipedia,Elodea,fiber/foliage,5,4,passage time,48,,,,,124,,,,,,Malone CR (1965) Dispersal of plankton: rate of food passage in mallard ducks. The Journal of Wildlife Management 29:529-533,No mean transit time or MRT given and min and max are averages and also measure egg viability,"passage, rate",n
Anas platyrhynchos,Y,Aves,Anseriformes,,Anatidae,Anas_platyrhynchos,mallard duck,omnivore,1120,Mallard - Wikipedia,crayfish,meat,5,4,passage time,66,,,,,142,,,,,,Malone CR (1965) Dispersal of plankton: rate of food passage in mallard ducks. The Journal of Wildlife Management 29:529-534,No mean transit time or MRT given and min and max are averages and also measure egg viability,"passage, rate",n
Anas platyrhynchos,Y,Aves,Anseriformes,,Anatidae,Anas_platyrhynchos,mallard duck,omnivore,1120,Mallard - Wikipedia,cattail,fiber/foliage,5,4,passage time,82,,,,,222,,,,,,Malone CR (1965) Dispersal of plankton: rate of food passage in mallard ducks. The Journal of Wildlife Management 29:529-535,No mean transit time or MRT given and min and max are averages and also measure egg viability,"passage, rate",n
Anas platyrhynchos,Y,Aves,Anseriformes,,Anatidae,Anas_platyrhynchos,mallard duck,omnivore,1120,Mallard - Wikipedia,oats,fiber/foliage,5,4,passage time,125,,,,,264,,,,,,Malone CR (1965) Dispersal of plankton: rate of food passage in mallard ducks. The Journal of Wildlife Management 29:529-536,No mean transit time or MRT given and min and max are averages and also measure egg viability,"passage, rate",n
Anas platyrhynchos,Y,Aves,Anseriformes,,Anatidae,Anas_platyrhynchos,mallard duck,omnivore,1120,Mallard - Wikipedia,corn,fiber/foliage,5,4,passage time,165,,,,,329,,,,,,Malone CR (1965) Dispersal of plankton: rate of food passage in mallard ducks. The Journal of Wildlife Management 29:529-537,No mean transit time or MRT given and min and max are averages and also measure egg viability,"passage, rate",n
Anoura geoffroyi,Y,Mammalia,Chiroptera,188,Phyllostomidae,Anoura_geoffroyi,Geoffrey's tailless bat,omnivore,14.5,mean as reported in paper,Columnar cactus,fruit/nectar/pollen,5,1,"TT: transit time, time from feeding to first appearance in feces",86,,,108,,,26.5,,,,,Herrera and Martinez del Rio 1998,Fed pollen solutions,,Yes
Anoura geoffroyi,Y,Mammalia,Chiroptera,188,Phyllostomidae,Anoura_geoffroyi,Geoffrey's tailless bat,omnivore,14.4,mean as reported in paper,P. ellipticum,fruit/nectar/pollen,6,1,"TT: transit time, time from feeding to first appearance in feces",51,,,127.5,,,12.5,,,,,Herrera and Martinez del Rio 1998,Fed pollen solutions,,Yes
Anoura geoffroyi,Y,Mammalia,Chiroptera,188,Phyllostomidae,Anoura_geoffroyi,Geoffrey's tailless bat,omnivore,15,mean as reported in paper,H. undatus,fruit/nectar/pollen,11,1,"TT: transit time, time from feeding to first appearance in feces",63,,,105,,,45.75,,,,,Herrera and Martinez del Rio 1998,Fed pollen solutions,,Yes
Anser anser,Y,Aves,Anseriformes,,Anatidae,Anser_anser,Goose,herbivore,3300,Greylag goose - Wikipedia,alfalfa pellet w/Co,fiber/foliage,6,1,transit time,,,,,,,,,192,,,"Frei S, Ortmann S, Kreuzer M, Hatt J-M, Clauss M (2017) Digesta retention patterns in geese (Anser anser) and turkeys (Meleagris gallopavo) and deduced function of avian caeca. Comparative Biochemistry and Physiology A 204:219-227",no reported standard deviation,gut,n
Anser anser,Y,Aves,Anseriformes,,Anatidae,Anser_anser,Goose,herbivore,3300,Greylag goose - Wikipedia,alfalfa pellet w/Cr,fiber/foliage,6,1,transit time,,,,,,,,,174,,,"Frei S, Ortmann S, Kreuzer M, Hatt J-M, Clauss M (2017) Digesta retention patterns in geese (Anser anser) and turkeys (Meleagris gallopavo) and deduced function of avian caeca. Comparative Biochemistry and Physiology A 204:219-228",no reported standard deviation,gut,n
Anser anser,Y,Aves,Anseriformes,,Anatidae,Anser_anser,Goose,herbivore,3300,Greylag goose - Wikipedia,alfalfa pellet w/Ce,fiber/foliage,6,1,transit time,,,,,,,,,126,,,"Frei S, Ortmann S, Kreuzer M, Hatt J-M, Clauss M (2017) Digesta retention patterns in geese (Anser anser) and turkeys (Meleagris gallopavo) and deduced function of avian caeca. Comparative Biochemistry and Physiology A 204:219-229",no reported standard deviation,gut,n
Anser anser,Y,Aves,Anseriformes,,Anatidae,Anser_anser,Greylag Goose,herbivore,3310,,A. machrostachyum seeds,fiber/foliage,10,1,mean retention time,,,,,,,,,432,78,,"García‐Álvarez A, van Leeuwen CH, Luque CJ, Hussner A, Vélez‐Martín A, Pérez‐Vázquez A, Green AJ, Castellanos EM (2015) Internal transport of alien and native plants by geese and ducks: an experimental study. Freshwater Biology 60:1316-1329",,"gut, time",n
Anser anser,Y,Aves,Anseriformes,,Anatidae,Anser_anser,Greylag Goose,herbivore,3310,,L. grandiflora seeds,fiber/foliage,10,1,mean retention time,,,,,,,,,534,66,,"García‐Álvarez A, van Leeuwen CH, Luque CJ, Hussner A, Vélez‐Martín A, Pérez‐Vázquez A, Green AJ, Castellanos EM (2015) Internal transport of alien and native plants by geese and ducks: an experimental study. Freshwater Biology 60:1316-1330",,"gut, time",n
Anser anser,Y,Aves,Anseriformes,,Anatidae,Anser_anser,Greylag Goose,herbivore,3310,,S. densiflora seeds,fiber/foliage,10,1,mean retention time,,,,,,,,,492,306,,"García‐Álvarez A, van Leeuwen CH, Luque CJ, Hussner A, Vélez‐Martín A, Pérez‐Vázquez A, Green AJ, Castellanos EM (2015) Internal transport of alien and native plants by geese and ducks: an experimental study. Freshwater Biology 60:1316-1331",,"gut, time",n
Anser anser,Y,Aves,Anseriformes,,Anatidae,Anser_anser,Greylag Goose,herbivore,3310,,S. vera seeds,fiber/foliage,10,1,mean retention time,,,,,,,,,1014,318,,"García‐Álvarez A, van Leeuwen CH, Luque CJ, Hussner A, Vélez‐Martín A, Pérez‐Vázquez A, Green AJ, Castellanos EM (2015) Internal transport of alien and native plants by geese and ducks: an experimental study. Freshwater Biology 60:1316-1332",,"gut, time",n
Anseranas semipalmata,Y,Aves,Anseriformes,,Anseranatidae,Anseranas_semipalmata,Australian magpie goose,herbivore,2500,Magpie Goose (Anseranas semipalmata) – Australian AVES | Aussie Animals,unhusked rice grain,fiber/foliage,5,1,transit time,,,,,,,,,222,180,,"Dawson TJ, Whitehead PJ, McLean A, Fanning FD, Dawson, WR (2000). Digestive function in Australian magpie geese (Anseranas semipalmata). Australian Journal of Zoology 48:265-279",,,n
Anseranas semipalmata,Y,Aves,Anseriformes,,Anseranatidae,Anseranas_semipalmata,Australian magpie goose,herbivore,2500,Magpie Goose (Anseranas semipalmata) – Australian AVES | Aussie Animals,fresh aquatic grass,fiber/foliage,5,1,transit time,,,,,,,,,462,36,,"Dawson TJ, Whitehead PJ, McLean A, Fanning FD, Dawson, WR (2000). Digestive function in Australian magpie geese (Anseranas semipalmata). Australian Journal of Zoology 48:265-280",,,n
Antechinus swainsonii,N,Mammalia,Dasyuromorphia,,Dasyuridae,Antechinus_swainsonii,dusky antechinus,carnivore,49.2,,house mice,meat,5,1,transit time,180,,,,,1080,,,,,,"McT. Cowan, A. M. O'Riordan, and J. S. McT. Cowan. 1974. Energy requirements of the dasyurid marsupial mouse Antechinus swainsonni (Waterhouse). Canadian Journal of Zoology. 52(2): 269-275. https://doi.org/10.1139/z74-033",subadults,"food, rate",N
Antilope cervicapra,N,Mammalia,Artiodactyla,,Bovidae,Antilope_cervicapra,blackbuck,folivore,26000,,"grass hay, alfalfa + Co-EDTA liquid marker",fiber/foliage,5,1,transit time; MRT,,,,,,,,,1740,246,,Hummel et al. (2015),,N,N
Antilope cervicapra,N,Mammalia,Artiodactyla,,Bovidae,Antilope_cervicapra,blackbuck,folivore,26000,,"grass hay, alfalfa + Cr particle marker",fiber/foliage,5,1,transit time; MRT,,,,,,,,,3600,396,,Hummel et al. (2015),,N,N
Aptenodytes patagonicus,N,Aves,Sphenisciformes,,Spheniscidae,Aptenodytes_patagonicus,king penguin,carnivore,13650,King penguin - Wikipedia,pilchard,meat,5,4,mean retention time,,,,,,,,,1260,,,Jackson S (1992) Do seabird gut sizes and mean retention times reflect adaptation to diet and foraging method? Physiological Zoology 65:674-709,"MRTs estimated from graph, could not estimate SD","gastrointestinal, transit, time",n
Aptenodytes patagonicus,N,Aves,Sphenisciformes,,Spheniscidae,Aptenodytes_patagonicus,king penguin,carnivore,13650,King penguin - Wikipedia,squid,meat,5,4,mean retention time,,,,,,,,,1080,,,Jackson S (1992) Do seabird gut sizes and mean retention times reflect adaptation to diet and foraging method? Physiological Zoology 65:674-710,"MRTs estimated from graph, could not estimate SD","gastrointestinal, transit, time",n
Aptenodytes patagonicus,N,Aves,Sphenisciformes,,Spheniscidae,Aptenodytes_patagonicus,king penguin,carnivore,13650,King penguin - Wikipedia,prawn,meat,5,4,mean retention time,,,,,,,,,1320,,,Jackson S (1992) Do seabird gut sizes and mean retention times reflect adaptation to diet and foraging method? Physiological Zoology 65:674-711,"MRTs estimated from graph, could not estimate SD","gastrointestinal, transit, time",n
Apyprymnus rufescens,N,Mammalia,Diprotodontia,,Potoroidae,Aepyprymnus_rufescens,Rat Kangaroo,herbivore,2480,Aepyprymnus rufescens (rufous bettong) | INFORMATION | Animal Diversity Web,fibrous diet,fiber/foliage,8,2,mean retention time,,,,,,,,,1860,,,"Wallis, I.R. (1994). The Rate of Passage of Digesta through the Gastrointestinal Tracts of Potoroine Marsupials: More Evidence about the Role of the Potoroine Foregut. Physiological Zoology, 67, 771 - 795.",MRT values taken from Ru marker column,"gastrointestinal, time",N
Apyprymnus rufescens,N,Mammalia,Diprotodontia,,Potoroidae,Aepyprymnus_rufescens,Rat Kangaroo,herbivore,2480,Aepyprymnus rufescens (rufous bettong) | INFORMATION | Animal Diversity Web,fibrous diet,fiber/foliage,6,2,mean retention time,,,,,,,,,780,,,"Wallis, I.R. (1994). The Rate of Passage of Digesta through the Gastrointestinal Tracts of Potoroine Marsupials: More Evidence about the Role of the Potoroine Foregut. Physiological Zoology, 67, 771 - 795.",MRT values taken from Ru marker column,"gastrointestinal, time",N
Apyprymnus rufescens,N,Mammalia,Diprotodontia,,Potoroidae,Aepyprymnus_rufescens,Rat Kangaroo,herbivore,2480,Aepyprymnus rufescens (rufous bettong) | INFORMATION | Animal Diversity Web,fibrous diet,fiber/foliage,8,2,mean retention time,,,,,,,,,1500,,,"Wallis, I.R. (1994). The Rate of Passage of Digesta through the Gastrointestinal Tracts of Potoroine Marsupials: More Evidence about the Role of the Potoroine Foregut. Physiological Zoology, 67, 771 - 795.",MRT values taken from Ru marker column,"gastrointestinal, time",N
Arctictis binturong,N,Mammalia,Carnivora,,Viverridae,Arctictis_binturong,binturong,frugivore,18900,,dog feed + fruit + plastic particle marker,protein,4,15,MRT,,,,,,,,,390,18,,Lambert et al. (2014),,Y,N
Arizelocichla tephrolaemus,Y,Aves,Passeriformes,,Pycnonotidae,Pycnonotidae,western greenbul,frugivore/nectivore,43.5,Western Mountain Greenbul,M. lancelota fruit,fruit/nectar/pollen,4,1,minimum passage time,,,,17.8,,,1.93,,,,,"Graham CH, Moermond TC, Kristensen KA, Mvukiyumwami J (1995) Seed dispersal effectiveness by two bulbuls on Maesa lanceolata, an African montane forest tree. Biotropica 27:479-486",,time,n
Artibeus jamaicensis,Y,Mammalia,Chiroptera,188,Phyllostomidae,Artibeus_jamaicensis,Jamaican fruit bat,frugivore/nectarivore,39.9,mean as reported in paper,Columnar cactus,fruit/nectar/pollen,5,1,"TT: transit time, time from feeding to first appearance in feces",82,,,120.75,,,28.75,,,,,Herrera and Martinez del Rio 1998,Fed pollen solutions,,Yes
Artibeus jamaicensis,Y,Mammalia,Chiroptera,188,Phyllostomidae,Artibeus_jamaicensis,Jamaican fruit bat,frugivore/nectarivore,42.1,mean as reported in paper,P. ellipticum,fruit/nectar/pollen,6,1,"TT: transit time, time from feeding to first appearance in feces",82,,,166.25,,,33,,,,,Herrera and Martinez del Rio 1998,,,Yes
Artibeus jamaicensis,Y,Mammalia,Chiroptera,188,Phyllostomidae,Artibeus_jamaicensis,Jamaican fruit bat,frugivore/nectarivore,38.2,mean as reported in paper,H. undatus,fruit/nectar/pollen,7,1,"TT: transit time, time from feeding to first appearance in feces",38,,,83.75,,,38,,,,,Herrera and Martinez del Rio 1998,,,Yes
Artibeus jamaicensis,Y,Mammalia,Chiroptera,188,Phyllostomidae,Artibeus_jamaicensis,Jamaican fruit bat,frugivore/nectarivore,39.7,mean reported in paper,pollen + water mixture,fruit/nectar/pollen,8,1,MGT: time from ingestion of pollen to appearance of pollen infeces,,,,91.7,,,15.25510204,,,,,Mancina et al 2005,minimum gut transit time extracted from figure,,Yes
Artibeus lituratus,Y,Mammalia,Chiroptera,,Phyllostomidae,Artibeus_lituratus,great fruit-eating bat,frugivore,65.9,Artibeus lituratus (great fruit-eating bat) | INFORMATION | Animal Diversity Web,F. orangensis fruit,fruit/nectar/pollen,30,1,digestion time,,,,51.3,,,21,,,,,"Xavier, L. H., Ortêncio Filho, H., Bianconi, G. V., & de Santana, H. S. (2018). Fruit digestion time, integrity and germination of seeds defecated by Artibeus lituratus (Olfers, 1818) (Chiroptera: Phyllostomidae). Studies on Neotropical Fauna and Environment, 53(1), 54–61. https://doi.org/10.1080/01650521.2017.1396804","Written as digestion rate, but I believe the times correspond to passage time","passage, time",N
Artibeus lituratus,Y,Mammalia,Chiroptera,,Phyllostomidae,Artibeus_lituratus,great fruit-eating bat,frugivore,66.9,Artibeus lituratus (great fruit-eating bat) | INFORMATION | Animal Diversity Web,F. guaranitica fruit,fruit/nectar/pollen,30,1,digestion time,,,,64.5,,,12.7,,,,,"Xavier, L. H., Ortêncio Filho, H., Bianconi, G. V., & de Santana, H. S. (2018). Fruit digestion time, integrity and germination of seeds defecated by Artibeus lituratus (Olfers, 1818) (Chiroptera: Phyllostomidae). Studies on Neotropical Fauna and Environment, 53(1), 54–61. https://doi.org/10.1080/01650521.2017.1396805","Written as digestion rate, but I believe the times correspond to passage time","passage, time",N
Artibeus lituratus,Y,Mammalia,Chiroptera,,Phyllostomidae,Artibeus_lituratus,great fruit-eating bat,frugivore,67.9,Artibeus lituratus (great fruit-eating bat) | INFORMATION | Animal Diversity Web,F. glabra fruit,fruit/nectar/pollen,30,1,digestion time,,,,57.2,,,10.9,,,,,"Xavier, L. H., Ortêncio Filho, H., Bianconi, G. V., & de Santana, H. S. (2018). Fruit digestion time, integrity and germination of seeds defecated by Artibeus lituratus (Olfers, 1818) (Chiroptera: Phyllostomidae). Studies on Neotropical Fauna and Environment, 53(1), 54–61. https://doi.org/10.1080/01650521.2017.1396806","Written as digestion rate, but I believe the times correspond to passage time","passage, time",N
Arvicola terrestris,N,Mammalia,Rodentia,,Microtinae,Arvicola_amphibius,water vole,omnivore,247.5,Arvicola amphibius (Eurasian water vole) | INFORMATION | Animal Diversity Web,rabbit pellet,fiber/foliage,5,1,mean retention time,,,,,,,,,576,114,,"Woodall PF. The effects of increased dietary cellulose on the anatomy, physiology and behaviour of captive water voles, Arvicola terrestris (L.) (Rodentia: Microtinae). Comp Biochem Physiol A Comp Physiol. 1989;94(4):615-21. doi: 10.1016/0300-9629(89)90603-8. PMID: 2575948.",,,N
Arvicola terrestris,N,Mammalia,Rodentia,,Microtinae,Arvicola_amphibius,water vole,omnivore,247.5,Arvicola amphibius (Eurasian water vole) | INFORMATION | Animal Diversity Web,rabbit pellet w/ 10% cellulose,fiber/foliage,6,1,mean retention time,,,,,,,,,504,126,,"Woodall PF. The effects of increased dietary cellulose on the anatomy, physiology and behaviour of captive water voles, Arvicola terrestris (L.) (Rodentia: Microtinae). Comp Biochem Physiol A Comp Physiol. 1989;94(4):615-21. doi: 10.1016/0300-9629(89)90603-8. PMID: 2575948.",,,N
Arvicola terrestris,N,Mammalia,Rodentia,,Microtinae,Arvicola_amphibius,water vole,omnivore,247.5,Arvicola amphibius (Eurasian water vole) | INFORMATION | Animal Diversity Web,rabbit pellet w/ 20% cellulose,fiber/foliage,4,1,mean retention time,,,,,,,,,426,30,,"Woodall PF. The effects of increased dietary cellulose on the anatomy, physiology and behaviour of captive water voles, Arvicola terrestris (L.) (Rodentia: Microtinae). Comp Biochem Physiol A Comp Physiol. 1989;94(4):615-21. doi: 10.1016/0300-9629(89)90603-8. PMID: 2575948.",,,N
Arvicola terrestris,N,Mammalia,Rodentia,,Microtinae,Arvicola_amphibius,water vole,omnivore,247.5,Arvicola amphibius (Eurasian water vole) | INFORMATION | Animal Diversity Web,rabbit pellet w/30%cellulose,fiber/foliage,4,1,mean retention time,,,,,,,,,468,126,,"Woodall PF. The effects of increased dietary cellulose on the anatomy, physiology and behaviour of captive water voles, Arvicola terrestris (L.) (Rodentia: Microtinae). Comp Biochem Physiol A Comp Physiol. 1989;94(4):615-21. doi: 10.1016/0300-9629(89)90603-8. PMID: 2575948.",,,N
Asio flammeus,Y,Aves,Stringiformes,,Stringidae,Asio_flammeus,short eared owl,carnivore,340.5,Asio flammeus (short-eared owl) | INFORMATION | Animal Diversity Web,lab mice,meat,1,1,meal to pellet interval,,,,10.22,,,0.43,,,,,"Duke GE, Evanson OA, Jegers A (1976) Meal to pellet intervals in 14 species of captive raptors. Comparative Biochemistry and Physiology A 53:1-16","some birds were fed at two different times, this did not seem to have any significant impact on the excretion time (so with the exception of the caracara which was only fed at 1100) all numbers reflected are from the 0900 feeding",,n
Ateles belzebuth,N,Mammalia,Primates,,Atelidae,Ateles_belzebuth,spider monkey,frugivore,8500,,fruit,fruit/nectar/pollen,17,1,mean retention time,,,,,,,,,270,,,"Link A, Di Fiore A. Seed dispersal by spider monkeys and its importance in the maintenance of neotropical rain-forest diversity. Journal of Tropical Ecology. 2006;22(3):235-246. doi:10.1017/S0266467405003081",,time,N
Ateles geoffroyi,N,Mammalia,Primates,,Atelidae,Ateles_geoffroyi,Geoffroy's spider monkey,frugivore,7600,,mixed fruit/veggies/bread/etc + plastic particle marker,protein,9,1,TT,,,,264,,,,,,,,Milton (1984),,N,N
Ateles paniscus,N,Mammalia,Primates,,Atelidae,Ateles_paniscus,red-faced spider monkey,omnivore,7800,,mixed fruit/veggies/bread/etc + plastic particle marker,protein,4,1,TT,,,,315,,,,,,,,Milton (1984),,N,N
Atheris nitscheri,N,Reptilia,Squamata,637.9,Viperidae,Atheris_nitschei,Great Lakes bush viper,carnivore,,,mice,meat,3,,transit time,,,,10368,,,288,,,,,Lillywhite et al 2002,"measured ""gut passage time"" same as transit time (first pass of markers in feces)",yes,No
Bettongia penicillata,N,Mammalia,Diprotodontia,,Potoroidae,Bettongia_penicillata,Woylie,herbivore,1300,Woylie - Wikipedia,fibrous diet,fiber/foliage,6,2,mean retention time,,,,,,,,,2340,,,"Wallis, I.R. (1994). The Rate of Passage of Digesta through the Gastrointestinal Tracts of Potoroine Marsupials: More Evidence about the Role of the Potoroine Foregut. Physiological Zoology, 67, 771 - 795.",MRT values taken from Ru marker column,"gastrointestinal, time",N
Bison bison,N,Mammalia,Artiodactyla,,Bovidae,Bison_bison,bison,herbivore,609000,Bison bison (American bison) | INFORMATION | Animal Diversity Web,alfalfa and brom grass,fiber/foliage,2,1,retention time,,,,,,,,,4728,129.6,,"Schaefer AL, Young BA, Chimwano AM (1978) Ration digestion and retention times of digesta in domestic cattle (Bos taurus), American bison (Bison bison), and Tibetan yak (Bos grunniens). Canadian Journal of Zoology 56:2355-2359",,time,no
