"fly","class","order","family","genus.species","common.name","sum_mass","trial.diet","N_tot","total_MRT","MRT","avg_mass","re_class","MRT_hrs","mass_kg"
"N","Mammalia","Rodentia","Erethizontidae","Erethizon dorsatum","North American porcupine",22000,"fiber/foliage",6,17253,2875.5,3666.66666666667,"Rodents",47.925,3.66666666666667
"N","Aves","Sphenisciformes","Spheniscidae","Eudyptes chrysocome","Rock hopper penguin",8250,"meat",15,14550,970,550,"Non-Flying Birds",16.1666666666667,0.55
"N","Mammalia","Primates","Lemuridae","Eulemur fulvus","common brown lemur",2258.6,"fiber/foliage",6,3306.6,551.1,376.433333333333,"Primates",9.185,0.376433333333333
"Y","Aves","Falconiformes","Falconidae","Falco naumanni","kestrel",180,"meat",5,2157,431.4,36,"Flying Birds",7.19,0.036
"Y","Aves","Falconiformes","Falconidae","Falco peregrinus","peregrine",762.5,"meat",3,1265.4,421.8,254.166666666667,"Flying Birds",7.03,0.254166666666667
"Y","Aves","Falconiformes","Falconidae","Falco subbuteo","hobby",304,"meat",2,762,381,152,"Flying Birds",6.35,0.152
"Y","Aves","Charadriiformes","Alcidae","Fratercula arctica","Atlantic puffin",1260,"meat",33,11213.4,339.8,38.1818181818182,"Flying Birds",5.66333333333333,0.0381818181818182
"Y","Aves","Charadriiformes","Alcidae","Fratercula arctica","atlantic puffin",840,"meat",2,804,402,420,"Flying Birds",6.7,0.42
"Y","Aves","Gruiformes","Rallidae","Fulica atra","Common Coot",1640,"fiber/foliage",10,9588,958.8,164,"Flying Birds",15.98,0.164
"Y","Aves","Procellariiformes","Procellariidae","Fulmarus glacialis","northern fulmar",2744,"meat",13,5991,460.846153846154,211.076923076923,"Flying Birds",7.68076923076923,0.211076923076923
"N","Mammalia","Primates","Galagidae","Galago moholi","Mohol bush baby",400,"protein",16,34272,2142,25,"Primates",35.7,0.025
"Y","Aves","Musophagiformes","Musophagidae","Gallirex johnstoni","Ruwenzori Turaco",1425,"fruit/nectar/pollen",30,2088,69.6,47.5,"Flying Birds",1.16,0.0475
"Y","Aves","Galliformes","Phasianidae","Gallus gallus","chicken",7500,"fiber/foliage",30,12240,408,250,"Flying Birds",6.8,0.25
"Y","Aves","Galliformes","Phasianidae","Gallus gallus domesticus","domestic chicken",5160.4,"fiber/foliage",48,18948.6,394.7625,107.508333333333,"Flying Birds",6.579375,0.107508333333333
"Y","Aves","Galliformes","Phasianidae","Gallus gallus domesticus","broiler chicken",203,"fiber/foliage",120,40560,338,1.69166666666667,"Flying Birds",5.63333333333333,0.00169166666666667
"Y","Aves","Galliformes","Phasianidae","Gallus gallus domesticus","white leghorn chicken",115,"fiber/foliage",120,43188,359.9,0.958333333333333,"Flying Birds",5.99833333333333,0.000958333333333333
"N","Mammalia","Artiodactyla","Bovidae","Gazella gazella","Idmi gazelle",32800,"fiber/foliage",10,17520,1752,3280,"Even-toed Ungulates",29.2,3.28
"N","Mammalia","Artiodactyla","Bovidae","Gazella spekei","Speke's gazelle",26000,"fiber/foliage",10,11910,1191,2600,"Even-toed Ungulates",19.85,2.6
"N","Mammalia","Artiodactyla","Bovidae","Gazella subgutturosa marica","Rheem gazelle",35200,"fiber/foliage",14,28140,2010,2514.28571428571,"Even-toed Ungulates",33.5,2.51428571428571
"N","Mammalia","Artiodactyla","Giraffidae","Giraffa camelopardalis","giraffe",7695400,"fiber/foliage",39,88689.6,2274.09230769231,197317.948717949,"Even-toed Ungulates",37.9015384615385,197.317948717949
"N","Mammalia","Primates","Hominidae","Gorilla gorilla","gorilla",112300,"fruit/nectar/pollen",4,17848.8,4462.2,28075,"Primates",74.37,28.075
"N","Mammalia","Primates","Hominidae","Gorilla gorilla","Western lowland gorilla",105000,"fruit/nectar/pollen",5,15180,3036,21000,"Primates",50.6,21
"Y","Aves","Suliformes","Phalacrocoracidae","Gulosus aristotelis","shag",5804,"meat",12,3811.2,317.6,483.666666666667,"Flying Birds",5.29333333333333,0.483666666666667
"N","Mammalia","Primates","Lemuridae","Hapalemur griseus","Eastern lesser bamboo lemur",1050,"fiber/foliage",6,16808.4,2801.4,175,"Primates",46.69,0.175
"Y","Aves","Columbiformes","Columbidae","Hemiphaga novaeseelandiae","New Zealand pigeons",630,"fruit/nectar/pollen",2,190.8,95.4,315,"Flying Birds",1.59,0.315
"N","Mammalia","Artiodactyla","Hippopotamidae","Hexaprotodon liberiensis","pygmy hippopotamus",238000,"fiber/foliage",4,16080,4020,59500,"Even-toed Ungulates",67,59.5
"N","Mammalia","Artiodactyla","Hippopotamidae","Hippopotamus amphibius","common hippopotamus",2175000,"fiber/foliage",4,17040,4260,543750,"Even-toed Ungulates",71,543.75
"N","Mammalia","Artiodactyla","Bovidae","Hippotragus niger","Sable antelope",458000,"fiber/foliage",6,16380,2730,76333.3333333333,"Even-toed Ungulates",45.5,76.3333333333333
"N","Mammalia","Rodentia","Caviidae","Hydrochoerus hydrochaeris","capybara",148360,"fiber/foliage",37,75798,2048.59459459459,4009.72972972973,"Rodents",34.1432432432432,4.00972972972973
"N","Mammalia","Carnivora","Phocidae","Hydrurga leptonyx","leopard seals",786000,"meat",5,21318,4263.6,157200,"Carnivora",71.06,157.2
"N","Mammalia","Primates","Hylobatidae","Hylobates lar","white-handed gibbon",11920,"fiber/foliage",8,10824,1353,1490,"Primates",22.55,1.49
"Y","Aves","Passeriformes","Pycnonotidae","Hypsipetes amaurotis","Brown-eared bulbul",75,"fiber/foliage",7,81.2,11.6,10.7142857142857,"Flying Birds",0.193333333333333,0.0107142857142857
"Y","Aves","","Pycnonotidae","Hypsipetes amaurotis","Brown-eared bulbul",1125,"fiber/foliage",105,2186.8,20.8266666666667,10.7142857142857,"Flying Birds",0.347111111111111,0.0107142857142857
"N","Mammalia","Rodentia","Hystricidae","Hystrix indica","Indian crested porcupine",64400,"fiber/foliage",12,19962,1663.5,5366.66666666667,"Rodents",27.725,5.36666666666667
"N","Mammalia","Artiodactyla","Bovidae","Kobus ellipsiprymnus","waterbuck",807000,"fiber/foliage",14,29745,2124.64285714286,57642.8571428571,"Even-toed Ungulates",35.4107142857143,57.6428571428571
"N","Mammalia","Rodentia","Chinchillidae","Lagostomus maximus","plains viscacha",7600,"fiber/foliage",32,51840,1620,237.5,"Rodents",27,0.2375
"N","Mammalia","Rodentia","Cricetidae","Lagurus lagurus","steppe lemming",39.6,"fiber/foliage",12,2988,249,3.3,"Rodents",4.15,0.0033
"N","Mammalia","Artiodactyla","Camelidae","Lama glama","llama",592000,"fiber/foliage",24,66240,2760,24666.6666666667,"Even-toed Ungulates",46,24.6666666666667
"N","Mammalia","Artiodactyla","Camelidae","Lama guanicoe","guanaco",405000,"fiber/foliage",6,17772,2962,67500,"Even-toed Ungulates",49.3666666666667,67.5
"N","Mammalia","Artiodactyla","Camelidae","Lama pacos","alpaca",189000,"fiber/foliage",15,42900,2860,12600,"Even-toed Ungulates",47.6666666666667,12.6
"Y","Aves","Passeriformes","Laniidae","Lanius excubitor","Great grey shrike",65,"fruit/nectar/pollen",1,50,50,65,"Flying Birds",0.833333333333333,0.065
"Y","Aves","Charadriiformes","Laridae","Larus smithsonianus","herring gull",4535,"meat",22,7105.2,322.963636363636,206.136363636364,"Flying Birds",5.38272727272727,0.206136363636364
"N","Mammalia","Rodentia","Cricetidae","Lasiopodomys brandtii","Brandt's vole",4.9,"fruit/nectar/pollen",11,4191,381,0.445454545454545,"Rodents",6.35,0.000445454545454545
"N","Mammalia","Artiodactyla","Bovidae","Litocranius walleri","gerenuk",74000,"fiber/foliage",2,4686,2343,37000,"Even-toed Ungulates",39.05,37
"N","Mammalia","Carnivora","Mustelidae","Lontra canadensis","northern river otter",9500,"meat",9,4617,513,1055.55555555556,"Carnivora",8.55,1.05555555555556
"N","Mammalia","Primates","Cercopithecidae","Lophocebus albigena","Gray-cheecked mangabey",5300,"fruit/nectar/pollen",2,4560,2280,2650,"Primates",38,2.65
"N","Mammalia","Carnivora","Canidae","Lycalopex culpaeus","culpeo fox",8700,"fruit/nectar/pollen",5,3600,720,1740,"Carnivora",12,1.74
"N","Mammalia","Carnivora","Canidae","Lycalopex culpaeus","culpeo fox",8700,"fruit/nectar/pollen; meat",5,5640,1128,1740,"Carnivora",18.8,1.74
"N","Mammalia","Carnivora","Canidae","Lycalopex culpaeus","culpeo fox",8700,"meat",5,8460,1692,1740,"Carnivora",28.2,1.74
"N","Mammalia","Primates","Cercopithecidae","Macaca cyclopis","Taiwanese macaque",16620,"fiber/foliage",12,25344,2112,1385,"Primates",35.2,1.385
"N","Mammalia","Primates","Cercopthecidae","Macaca fascicularis","long-tailed macaque",4100,"fiber/foliage",5,6.25,1.25,820,"Primates",0.0208333333333333,0.82
"N","Mammalia","Primates","Cercopithecidae","Macaca fascicularis","long-tailed macaque",9380,"fiber/foliage",8,17928,2241,1172.5,"Primates",37.35,1.1725
"N","Mammalia","Primates","Cercopithecidae","Macaca fuscata","Japanese macaque",8600,"fruit/nectar/pollen",5,10800,2160,1720,"Primates",36,1.72
"N","Mammalia","Primates","Cercopithecidae","Macaca fuscata","Japanese macaque",72800,"fiber/foliage",20,46875,2343.75,3640,"Primates",39.0625,3.64
"N","Mammalia","Primates","Cercopithecidae","Macaca fuscata","Japanese Macaque",18400,"fruit/nectar/pollen",9,23334,2592.66666666667,2044.44444444444,"Primates",43.2111111111111,2.04444444444444
"N","Mammalia","Primates","Cercopthecidae","Macaca nemestrina","pig-tailed macaque",7000,"fiber/foliage",5,13,2.6,1400,"Primates",0.0433333333333333,1.4
"Y","Aves","Procellariiformes","Procellariidae","Macronectes giganteus","Southern Giant Petrel",3000,"meat",12,10872,906,250,"Flying Birds",15.1,0.25
"N","Mammalia","Artiodactyla","Bovidae","Madoqua saltiana phillipsi","Phillip's dik dik",13880,"fiber/foliage",62,114822,1851.96774193548,223.870967741935,"Even-toed Ungulates",30.8661290322581,0.223870967741935
"Y","Aves","Anseriformes","Anatidae","Marmaronetta angustirostris","Marbled Teal",616,"fiber/foliage",10,9588,958.8,61.6,"Flying Birds",15.98,0.0616
"N","Mammalia","Rodentia","Sciuridae","Marmota caligata","hoary marmot",4616,"protein",12,19332,1611,384.666666666667,"Rodents",26.85,0.384666666666667
"N","Mammalia","Carnivora","Mustelidae","Martes melampus","Japanese Marten",5598,"mixed",12,4977.6,414.8,466.5,"Carnivora",6.91333333333333,0.4665
"Y","Aves","Galliformes","Phasianidae","Meleagris gallopavo","Turkey",19950,"fiber/foliage",18,15552,864,1108.33333333333,"Flying Birds",14.4,1.10833333333333
"N","Mammalia","Rodentia","Muridae","Meriones unguiculatus","Mongolian gerbils",51.3,"fiber/foliage",11,7227,657,4.66363636363636,"Rodents",10.95,0.00466363636363636
"N","Mammalia","Rodentia","Cricetidae","Mesocricetus auratus","hamster",105,"fiber/foliage",6,3276,546,17.5,"Rodents",9.1,0.0175
"N","Mammalia","Rodentia","Cricetidae","Microtus agrestis","short-tailed field vole",57.2,"fiber/foliage",12,3744,312,4.76666666666667,"Rodents",5.2,0.00476666666666667
"N","Mammalia","Rodentia","Cricetidae","Microtus townsendii","Townsend vole",109.8,"protein",12,10044,837,9.15,"Rodents",13.95,0.00915
"Y","Aves","Accipitriformes","Accipitridae","Milvus milvus","red kite",1033.5,"meat",2,898.8,449.4,516.75,"Flying Birds",7.49,0.51675
"N","Mammalia","Carnivora","Phocidae","Mirounga leonina","southern elephant seals",4100000,"meat",6,4242,707,683333.333333333,"Carnivora",11.7833333333333,683.333333333333
"N","Aves","Galliformes","Cracidae","Mitu salvini","Salvin's curassows",9300,"fruit/nectar/pollen",6,844,140.666666666667,1550,"Non-Flying Birds",2.34444444444444,1.55
"N","Mammalia","Carnivora","Phocidae","Monachus schauinslandi","Hawaiian monk seal",186000,"meat",3,3060,1020,62000,"Carnivora",17,62
"Y","Aves","Suliformes","Sulidae","Morus capensis","Cape gannet",7800,"meat",15,9450,630,520,"Flying Birds",10.5,0.52
"N","Mammalia","Rodentia","Muridae","Mus musculus","laboratory mouse",29,"fiber/foliage",6,1440,240,4.83333333333333,"Rodents",4,0.00483333333333333
