genus.species,phylo_name
Pygathrix nemaeus,Pygathrix_nemaeus
Pygoscelis papua,Pygoscelis_papua
Python molurus,Python_molurus
Python regius,Python_regius
Ramphastos pluricinctus,Pteroglossus_pluricinctus
Rana catesbeiana,Lithobates_catesbeianus
Rangifer tarandus,Rangifer_tarandus
Rattus norvegicus,Rattus_norvegicus
Rattus rattus,Rattus_tanezumi
Rhea americana,Rhea_americana
Rhinoceros unicornis,Rhinoceros_unicornis
Rhinopithecus bieti,Rhinopithecus_bieti
Rhinoptera bonasus,Rhinoptera_steindachneri
Rissa tridactyla,Rissa_tridactyla
Rousettus aegyptiacus,Rousettus_aegyptiacus
Rubigula  Flaviventris,Pycnonotus_flaviventris
Rubigula flaviventris,Pycnonotus_flaviventris
Saguinus fusicollis,Leontocebus_nigricollis
Saguinus oedipus,Saguinus_oedipus
Saltator similis,Saltator_similis
Sauromalus ater,Sauromalus_ater
Saxicola torquata,Saxicola_torquatus
Scotonycteris zenkeri,Scotonycteris_zenkeri
Selasphorous rufus,Selasphorus_rufus
Semnopithecus vetulus,Trachypithecus_vetulus
Serinus domestica,Serinus_canaria
Setophag coronata,Setophaga_coronata
Setophaga coronata,Setophaga_coronata
Sminthopsis douglasi,Sminthopsis_douglasi
Sorex minutus,Sorex_minutus
Sorex palustris,Sorex_palustris
Spermophilus columbianus,Urocitellus_columbianus
Spheniscus demersus,Spheniscus_demersus
Spilopelia senegalensis,Spilopelia_senegalensis
Steatornis caripensis,Steatornis_caripensis
Stephanophorus diadematus,Stephanophorus_diadematus
Stercorarius skua,Stercorarius_skua
Stigmochelys pardalis,Stigmochelys_pardalis
Streptopelia semitorquata,Streptopelia_semitorquata
Strix varia,Strix_uralensis
Struthio camelus,Struthio_camelus
Sturnira lilium,Sturnira_lilium
Sturnus vulgaris,Sturnus_vulgaris
Sus scrofa,Sus_scrofa
Syconycteris australis,Syconycteris_australis
Sylvia atricapilla,Sylvia_atricapilla
Sylvia borin,Sylvia_borin
Sylvia cantillans,Curruca_cantillans
Sylvia communis,Sylvia_communis
Sylvia melanocephala,Curruca_melanocephala
Sylvia undata,Sylvia_undata
Syncerus caffer,Syncerus_caffer
Tamias amoenus,Tamias_amoenus
Tapirus bairdii,Tapirus_bairdii
Tapirus indicus,Tapirus_indicus
Tapirus terrestris,Tapirus_terrestris
Tauraco corythaix,Tauraco_corythaix
Tauraco hartlaubi,Tauraco_hartlaubi
Taxidea taxus,Taxidea_taxus
Taxostoma curviroste,Toxostoma_curvirostre
Terrapene carolina,Terrapene_ornata
Trachemys scripta elegans,Trachemys_dorbigni
Trachylepis margaritifer,Trachylepis_margaritifera
Trachypithecus auratus,Trachypithecus_auratus
Trachypithecus cristatus,Trachypithecus_cristatus
Trachypithecus francoisi,Trachypithecus_francoisi
Trachypithecus obscurus,Trachypithecus_obscurus
Trachypthecus auratus auratus,Trachypithecus_auratus
Tragelaphus angasii,Tragelaphus_angasii
Tragelaphus eurycerus,Tragelaphus_eurycerus
Tragelaphus spekii,Tragelaphus_spekii
Tragulus javanicus,Tragulus_javanicus
Tragulus napu,Tragulus_napu
Tremarctos ornatus,Tremarctos_ornatus
Trichechus manatus,Trichechus_manatus
Trichechus manatus latirostris,Trichechus_manatus
Trichosurus vulpecula,Trichosurus_vulpecula
Troglodytes aedon,Troglodytes_aedon
Turdus abicollis,Turdus_albicollis
Turdus amaurochalinus,Turdus_amaurochalinus
Turdus helleri,Turdus_helleri
Turdus leucomelas,Turdus_leucomelas
Turdus merula,Turdus_merula
Turdus migratorius,Turdus_migratorius
Turdus philomelos,Turdus_philomelos
Turdus rufiventris,Turdus_rufiventris
Tursiops truncatus,Tursiops_truncatus
Uria aalge,Uria_aalge
Uria lomvia,Uria_lomvia
Uromacer oxyrhynchus,Uromacer_oxyrhynchus
Uromys caudimaculatus,Uromys_caudimaculatus
Ursus americanus,Ursus_americanus
Ursus arctos,Ursus_arctos
Ursus thibetanus,Ursus_thibetanus
Varecia editorum,Varecia_variegata
Varecia variegata,Varecia_variegata
Vespertilio murinus,Vespertilio_murinus
Vombatus ursinus,Vombatus_ursinus
Vulpes lagopus,Vulpes_lagopus
Zalophus californianus,Zalophus_californianus
Zosterops lateralis,Zosterops_lateralis
Zosterops pallidus,Zosterops_pallidus
