"genus.species","fly","class","order","family","common.name","sum_mass","trial.diet","N_tot","total_transit","transit","avg_mass","re_class","transit_hrs","mass_kg","phylo_name"
"Struthio camelus","N","Aves","Struthioniformes","Struthionidae","common ostrich",56558,"unknown",10,10800,1080,5655.8,"Non-Flying Birds",18,5.6558,"Struthio_camelus"
"Sturnira lilium","Y","Mammalia","Chiroptera","Phyllostomidae","little yellow-shouldered bat",81.7,"fruit/nectar/pollen",15,1426.8,95.12,5.44666666666667,"Bats",1.58533333333333,0.00544666666666667,"Sturnira_lilium"
"Sturnus vulgaris","Y","Aves","Passeriformes","Sturnidae","European Starling",85,"fruit/nectar/pollen",5,35,7,17,"Flying Birds",0.116666666666667,0.017,"Sturnus_vulgaris"
"Sturnus vulgaris","Y","Aves","Passeriformes","Sturnidae","European Starling",85,"protein",5,60,12,17,"Flying Birds",0.2,0.017,"Sturnus_vulgaris"
"Sus scrofa","N","Mammalia","Artiodactyla","Suidae","pig",507000,"fiber/foliage",30,43630.8,1454.36,16900,"Even-toed Ungulates",24.2393333333333,16.9,"Sus_scrofa"
"Syconycteris australis","Y","Mammalia","Chiroptera","Pteropodidae","Common blossum bat",39.4,"fruit/nectar/pollen",6,399,66.5,6.56666666666667,"Bats",1.10833333333333,0.00656666666666667,"Syconycteris_australis"
"Sylvia atricapilla","Y","Aves","Passeriformes","Sylviidae","Eurasian Blackcap",15.1,"unknown",37,1350.87,36.51,0.408108108108108,"Flying Birds",0.6085,0.000408108108108108,"Sylvia_atricapilla"
"Sylvia borin","Y","Aves","Passeriformes","Sylviidae","Garden Warbler",19,"unknown",37,2923,79,0.513513513513513,"Flying Birds",1.31666666666667,0.000513513513513513,"Sylvia_borin"
"Sylvia cantillans","Y","Aves","Passeriformes","Sylviidae","Subalpine Warbler",10.5,"unknown",10,299,29.9,1.05,"Flying Birds",0.498333333333333,0.00105,"Curruca_cantillans"
"Sylvia communis","Y","Aves","Passeriformes","Sylviidae","Common Whitethroat",15,"unknown",6,244.8,40.8,2.5,"Flying Birds",0.68,0.0025,"Sylvia_communis"
"Sylvia melanocephala","Y","Aves","Passeriformes","Sylviidae","Sardinian Warbler",13,"unknown",59,1947,33,0.220338983050847,"Flying Birds",0.55,0.000220338983050847,"Curruca_melanocephala"
"Sylvia undata","Y","Aves","Passeriformes","Sylviidae","dartord warbler",11,"unknown",2,83,41.5,5.5,"Flying Birds",0.691666666666667,0.0055,"Sylvia_undata"
"Tamias amoenus","N","Mammalia","Rodentia","Sciuridae","yellow-pine chipmunk",123.8,"protein",12,3420,285,10.3166666666667,"Rodents",4.75,0.0103166666666667,"Tamias_amoenus"
"Tapirus bairdii","N","Mammalia","Perissodactyla","Tapiridae","Baird's tapir",9e+05,"fruit/nectar/pollen",4,63360,15840,225000,"Odd-toed Ungulates",264,225,"Tapirus_bairdii"
"Tapirus indicus","N","Mammalia","Perissodactyla","Tapiridae","Malaysian tapir",558000,"fiber/foliage",18,31320,1740,31000,"Odd-toed Ungulates",29,31,"Tapirus_indicus"
"Tapirus terrestris","N","Mammalia","Perissodactyla","Tapiridae","lowland tapir",386000,"fiber/foliage",30,42300,1410,12866.6666666667,"Odd-toed Ungulates",23.5,12.8666666666667,"Tapirus_terrestris"
"Tauraco hartlaubi","Y","Aves","Musophagiformes","Musophagidae","Hartlaub's turaco",235,"fruit/nectar/pollen",17,578,34,13.8235294117647,"Flying Birds",0.566666666666667,0.0138235294117647,"Tauraco_hartlaubi"
"Taxidea taxus","N","Mammalia","Carnivora","Mustelidae","American badger",8000,"protein",6,3110.4,518.4,1333.33333333333,"Carnivores",8.64,1.33333333333333,"Taxidea_taxus"
"Terrapene carolina","N","Reptilia","Testudines","Emydidae","Florida box Turtle",359.5,"fruit/nectar/pollen",11,236148,21468,32.6818181818182,"Reptiles",357.8,0.0326818181818182,"Terrapene_ornata"
"Trachemys scripta elegans","N","Reptilia","Testudines","Emydidae","Red-eared Slider Turtle",566.5,"fiber/foliage",8,59520,7440,70.8125,"Reptiles",124,0.0708125,"Trachemys_dorbigni"
