"","fly","class","order","family","genus.species","common.name","sum_mass","trial.diet","N_tot","total_MRT","MRT","avg_mass","re_class"
"260","Y","Aves","Passeriformes","Ptiliogonatidae","Ptiliogonys cinereus","silky flycatcher",103.5,"fruit/nectar/pollen",21,470.4,22.4,4.92857142857143,"Flying Birds"
"261","N","Mammalia","Artiodactyla","Cervidae","Pudu puda","Southern pudu",9000,"fruit/nectar/pollen",6,10764,1794,1500,"Artiodactyla"
"262","Y","Aves","Passeriformes","Pyconitidae","Pycnonotus goiavier","Yellow-vented Bulbul",40.5,"fruit/nectar/pollen",7,242.9,34.7,5.78571428571429,"Flying Birds"
"263","Y","Aves","Passeriformes","Pyconitidae","Pyconotus aurigaster","sooty-headed bulbul",315,"fruit/nectar/pollen",42,972,23.1428571428571,7.5,"Flying Birds"
"264","Y","Aves","Passeriformes","Pyconitidae","Pyconotus joscosus","Red-whiskered bulbul",227.5,"fruit/nectar/pollen",56,1336,23.8571428571429,4.0625,"Flying Birds"
"265","N","Mammalia","Primates","Cercopithecidae","Pygathrix nemaeus","red-shanked douc",32400,"fiber/foliage",8,24180,3022.5,4050,"Primates"
"266","N","Mammalia","Primates","Cercopithecidae","Pygathrix nemaeus","red-shanked douc langur",3595,"fiber/foliage",3,6108,2036,1198.33333333333,"Primates"
"267","N","Aves","Sphenisciformes","Spheniscidae","Pygoscelis papua","gentoo penguin",19500,"meat",15,12930,862,1300,"Non-Flying Birds"
"268","N","Aves","Sphenisciformes","Spheniscidae","Pygoscelis papua","Gentoo Penguin",NA,"meat",12,5940,495,NA,"Non-Flying Birds"
"269","Y","Aves","Piciformes","Ramphastidae","Ramphastos pluricinctus","Many-banded arcari",258.5,"fruit/nectar/pollen",1,30,30,258.5,"Flying Birds"
"270","N","Amphibia","Anura","Ranidae","Rana catesbeiana","bullfrog",2.12,"fiber/foliage",34,18360,540,0.0623529411764706,"Amphibia"
"271","N","Mammalia","Artiodactyla","Cervidae","Rangifer tarandus","reindeer",1492000,"fiber/foliage",32,89280,2790,46625,"Artiodactyla"
"272","N","Mammalia","Rodentia","Muridae","Rattus norvegicus","common rat",590,"fiber/foliage",12,9072,756,49.1666666666667,"Rodentia"
"273","N","Aves","Struthioniformes","Rheidae","Rhea americana","greater rhea",72000,"fiber/foliage",15,11310,754,4800,"Non-Flying Birds"
"274","N","Aves","Palaeognathae","Rheidae","Rhea americana","Greater Rhea",NA,"fiber/foliage",5,3900,780,NA,"Non-Flying Birds"
"275","N","Mammalia","Perissodactyla","Rhinocerotidae","Rhinoceros unicornis","Indian rinoceros",1950000,"fruit/nectar/pollen",1,4560,4560,1950000,"Perissodactyla"
"276","N","Mammalia","Primates","Cercopithecidae","Rhinopithecus bieti","Snub-Nosed Monkey",11750,"fruit/nectar/pollen",3,6750,2250,3916.66666666667,"Primates"
"277","N","Mammalia","Primates","Cercopithecidae","Rhinopithecus bieti","Snub-Nosed Monkey",11750,"fiber/foliage",3,11880,3960,3916.66666666667,"Primates"
"278","Y","Aves","Charadriiformes","Laridae","Rissa tridactyla","Black-legged kittiwake",1830,"meat",24,7729.2,322.05,76.25,"Flying Birds"
"279","Y","Aves","Passeriformes","Pyconitidae","Rubigula  Flaviventris","black-crested bulbul",217,"fruit/nectar/pollen",56,1152,20.5714285714286,3.875,"Flying Birds"
