"","fly","class","order","family","genus.species","common.name","typical.diet","food.cat","mass","food","N_tot","total_transit","total_MRT","transit","MRT","re_class","transit_hrs","MRT_hrs","mass_kg"
"84","Y","Mammalia","Chiroptera","Vespertilionidae","Eptesicus fuscus","Big Brown Bat","insectivore","protein",17.23,"protein",22,2684,NA,122,NA,"Bats",2.03333333333333,NA,0.01723
"85","N","Mammalia","Primates","Cercopithecidae","Cercopithecus (mona) pogonias","Crested mona monkey","frugivore/nectarivore","fruit/nectar/pollen",3300,"fruit/nectar/pollen",2,1992,3228,996,1614,"Primates",16.6,26.9,3.3
"86","N","Mammalia","Primates","Cercopithecidae","Cercopithecus (cephus) ascanius","Red-tailed monkey","frugivore/nectarivore","fruit/nectar/pollen",3585,"fruit/nectar/pollen",1,1236,1602,1236,1602,"Primates",20.6,26.7,3.585
"87","N","Mammalia","Primates","Cercopithecidae","Cercopithecus (cephus) erythrotis","Red-eared guenon","frugivore/nectarivore","fruit/nectar/pollen",3585,"fruit/nectar/pollen",1,1236,1602,1236,1602,"Primates",20.6,26.7,3.585
"88","N","Mammalia","Primates","Cercopithecidae","Lophocebus albigena","Gray-cheecked mangabey","frugivore/nectarivore","fruit/nectar/pollen",5300,"fruit/nectar/pollen",2,2724,4560,1362,2280,"Primates",22.7,38,5.3
"89","Y","Mammalia","Chiroptera","Phyllostomidae","Brachyphylla nana","Antillean nectar bat","omnivore","fruit/nectar/pollen",34.3,"fruit/nectar/pollen",8,326.4,NA,40.8,NA,"Bats",0.68,NA,0.0343
"90","Y","Aves","Passeriformes","Nectariniidae","Cinnyris osea","Palestine sunbird","frugivore/nectarivore","fruit/nectar/pollen",6.15,"fruit/nectar/pollen",14,484.4,NA,34.6,NA,"Flying Birds",0.576666666666667,NA,0.00615
"91","Y","Aves","Psittaciformes","Psittacidae","Nymphicus hollandicus","Cockatiel","frugivore/nectarivore","label-solution",97,"label-solution",12,720,NA,60,NA,"Flying Birds",1,NA,0.097
"92","N","Mammalia","Artiodactyla","Monodontidae","Delphinapterus leucas","beluga whale","carnivore","protein",718333.3333,"protein",3,36540,NA,12180,NA,"Ungulates",203,NA,718.3333333
"93","N","Mammalia","Peramelemorphia","Peramelidae","Isoodon macrourus","northern brown bandicoot","omnivore","protein",1368,"protein",5,1755,8130,351,1626,"Marsupials",5.85,27.1,1.368
"94","N","Mammalia","Peramelemorphia","Peramelidae","Isoodon macrourus","northern brown bandicoot","omnivore","fiber/foliage",977.5,"fiber/foliage",5,450,5610,90,1122,"Marsupials",1.5,18.7,0.9775
"95","N","Reptilia","Squamata","Cordylidae","Cordylus melanotus","common crag lizard","omnivore","protein",47.6,"protein",19,164491.17,NA,8657.43,NA,"Reptiles",144.2905,NA,0.0476
"96","N","Reptilia","Testudines","Testudinidae","Stigmochelys pardalis ","leopard tortoise","folivore","fiber/foliage",11650,"fiber/foliage",6,36720,NA,6120,NA,"Reptiles",102,NA,11.65
"97","N","Reptilia","Testudines","Testudinidae","Stigmochelys pardalis ","leopard tortoise","folivore","fruit/nectar/pollen",146527.5,"fruit/nectar/pollen",6,19440,NA,3240,NA,"Reptiles",54,NA,146.5275
"98","N","Reptilia","Squamata","Scincidae","Trachylepis margaritifer","Rainbow Skinks","carnivore","protein",37.3,"protein",15,40725,NA,2715,NA,"Reptiles",45.25,NA,0.0373
"99","Y","Aves","Passeriformes","Dicaeidae","Dicaeum hirundinaceum","mistletoe bird","frugivore/nectarivore","fruit/nectar/pollen",9.25,"fruit/nectar/pollen",4,54.66666668,NA,13.66666667,NA,"Flying Birds",0.227777777833333,NA,0.00925
"100","Y","Aves","Passeriformes","Meliphagidae","Acanthagenys refogularis","spiny cheeked honeyeater","omnivore","fruit/nectar/pollen",54.5,"fruit/nectar/pollen",6,243.40000002,NA,40.56666667,NA,"Flying Birds",0.676111111166667,NA,0.0545
"101","Y","Aves","Galliformes","Phasianidae","Coturnix coturnix japonica","Japanese quail","omnivore","protein",144,"protein",64,4992,NA,78,NA,"Flying Birds",1.3,NA,0.144
"102","N","Mammalia","Primates","Pitheciidae","Pithecia pithecia","white-faced saki","folivore","fiber/foliage",1712.5,"fiber/foliage",4,3504,6150,876,1537.5,"Primates",14.6,25.625,1.7125
"103","Y","Mammalia","Chiroptera","Pteropodidae","Pteropus rufus","Madagascan Flying Fox","frugivore/nectarivore","fruit/nectar/pollen",625,"fruit/nectar/pollen",4,120,120,30,30,"Bats",0.5,0.5,0.625
"104","N","Mammalia","Rodentia","Cricetidae","Lasiopodomys brandtii","Brandt's vole","folivore","fruit/nectar/pollen",4.9,"fruit/nectar/pollen",11,495,4191,45,381,"Rodents",0.75,6.35,0.0049
"105","N","Mammalia","Rodentia","Muridae","Meriones unguiculatus","Mongolian gerbils","folivore","fiber/foliage",51.3,"fiber/foliage",11,742.5,7227,67.5,657,"Rodents",1.125,10.95,0.0513
"106","Y","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus pipistrellus","Common pipistrelle","insectivore","protein",5.1,"protein",7,483,1778,69,254,"Bats",1.15,4.23333333333333,0.0051
"107","Y","Mammalia","Chiroptera","Vespertilionidae","Plecotus auritus","Brown long-eared bat","insectivore","protein",6.9,"protein",6,552,792,92,132,"Bats",1.53333333333333,2.2,0.0069
"108","Y","Mammalia","Chiroptera","Vespertilionidae","Myotis nattereri","Natterer's bat","insectivore","protein",6.8,"protein",3,231,564,77,188,"Bats",1.28333333333333,3.13333333333333,0.0068
"109","Y","Mammalia","Chiroptera","Vespertilionidae","Myotis daubentonii","Daubenton's bat","insectivore","protein",7.6,"protein",17,1530,3094,90,182,"Bats",1.5,3.03333333333333,0.0076
"110","Y","Mammalia","Chiroptera","Vespertilionidae","Myotis bechsteinii","Bechstein's bat","insectivore","protein",8,"protein",5,475,1545,95,309,"Bats",1.58333333333333,5.15,0.008
"111","Y","Mammalia","Chiroptera","Vespertilionidae","Vespertilio murinus","Parti-colored bat","insectivore","protein",14.3,"protein",5,510,1210,102,242,"Bats",1.7,4.03333333333333,0.0143
"112","Y","Mammalia","Chiroptera","Vespertilionidae","Nyctalus leisleri","Lesser Noctule","insectivore","protein",12.5,"protein",3,612,777,204,259,"Bats",3.4,4.31666666666667,0.0125
"113","Y","Mammalia","Chiroptera","Vespertilionidae","Eptesicus serotinus","Serotine bat","insectivore","protein",23.1,"protein",5,440,870,88,174,"Bats",1.46666666666667,2.9,0.0231
"114","Y","Mammalia","Chiroptera","Vespertilionidae","Myotis myotis","Greater mouse-eared bat","insectivore","protein",25.8,"protein",17,836,NA,49.1764705882353,NA,"Bats",0.819607843137255,NA,0.0258
"115","Y","Mammalia","Chiroptera","Vespertilionidae","Myotis myotis","Greater mouse-eared bat","insectivore","protein",21,"protein",17,836,NA,49.1764705882353,NA,"Bats",0.819607843137255,NA,0.021
"116","N","Reptilia","Squamata","Lacertidae","Podarcis erhardii","Aegean wall lizard","carnivore","protein",5.78,"protein",47,122200,NA,2600,NA,"Reptiles",43.3333333333333,NA,0.00578
"117","N","Mammalia","Rodentia","Echimyidae","Myocastor coypus","nutria","folivore","fiber/foliage",4400,"fiber/foliage",5,1740,13503,348,2700.6,"Rodents",5.8,45.01,4.4
"118","N","Mammalia","Rodentia","Caviidae","Cavia porcellus","guinea pig","folivore","fiber/foliage",1000,"fiber/foliage",23,5820,27124.2,253.04347826087,1179.31304347826,"Rodents",4.21739130434783,19.6552173913043,1
"119","N","Mammalia","Rodentia","Caviidae","Cavia porcellus","guinea pig","folivore","fiber/foliage",377,"fiber/foliage",23,5820,27124.2,253.04347826087,1179.31304347826,"Rodents",4.21739130434783,19.6552173913043,0.377
"120","N","Mammalia","Rodentia","Caviidae","Cavia porcellus","guinea pig","folivore","fiber/foliage",410,"fiber/foliage",23,5820,27124.2,253.04347826087,1179.31304347826,"Rodents",4.21739130434783,19.6552173913043,0.41
