fly,class,order,family,genus.species,common.name,sum_mass,typical.diet,N_tot,total_transit,total_MRT,transit,MRT,avg_mass,re_class,transit_hrs,MRT_hrs,mass_kg,phylo_name
Y,Aves,Passeriformes,Meliphagidae,Acanthagenys refogularis,spiny cheeked honeyeater,54.5,omnivore,6,243.4,NA,40.56666667,NA,9.083333333,Flying Birds,0.676111111,NA,0.009083333,Acanthagenys_rufogularis
Y,Aves,Passeriformes,Nectariniidae,Cinnyris osea,Palestine sunbird,6.15,frugivore/nectarivore,14,484.4,NA,34.6,NA,0.439285714,Flying Birds,0.576666667,NA,0.000439286,Cinnyris_venustus
Y,Aves,Passeriformes,Pipridae,Manacus vittelinus,golden-collared manakin,17.9,frugivore/nectarivore,8,133.8666666,NA,16.73333333,NA,2.2375,Flying Birds,0.278888889,NA,0.0022375,Manacus_vitellinus
Y,Aves,Passeriformes,Pipridae,Pipra mentalis,Red-capped manakin,14.2,frugivore/nectarivore,6,91.39999998,NA,15.23333333,NA,2.366666667,Flying Birds,0.253888889,NA,0.002366667,Ceratopipra_mentalis
Y,Aves,Passeriformes,Zosteropidae,Zosterops pallidus,Cape White-eye,31.49,omnivore,30,592.7,NA,19.75666667,NA,1.049666667,Flying Birds,0.329277778,NA,0.001049667,Zosterops_pallidus
Y,Aves,Psittaciformes,Psittacidae,Nymphicus hollandicus,Cockatiel,97,frugivore/nectarivore,12,720,NA,60,NA,8.083333333,Flying Birds,1,NA,0.008083333,Nymphicus_hollandicus
Y,Aves,Psittaciformes,Psittacidae,Psittacus erithacus,African grey parrot,446,omnivore,8,2100,NA,262.5,NA,55.75,Flying Birds,4.375,NA,0.05575,Psittacus_erithacus
Y,Aves,Strigiformes,Strigidae,Strix varia,Barred owl,790,carnivore,12,654.999996,NA,54.583333,NA,65.83333333,Flying Birds,0.909722217,NA,0.065833333,Strix
Y,Mammalia,Chiroptera,Molossidae,Molossus molossus,Velvety free-tailed bat,10.7,insectivore,5,600,NA,120,NA,2.14,Bats,2,NA,0.00214,Molossus_molossus
Y,Mammalia,Chiroptera,Mormoopidae,Pteronotus rubiginosus,Parnell's mustached bat,24.1,insectivore,5,600,NA,120,NA,4.82,Bats,2,NA,0.00482,Pteronotus_rubiginosus
Y,Mammalia,Chiroptera,Phyllostomidae,Anoura geoffroyi,Geoffrey's tailless bat,43.9,omnivore,22,2460,NA,111.8181818,NA,1.995454545,Bats,1.863636364,NA,0.001995455,Anoura_geoffroyi
Y,Mammalia,Chiroptera,Phyllostomidae,Artibeus jamaicensis,Jamaican fruit bat,159.9,frugivore/nectarivore,26,2921.1,NA,112.35,NA,6.15,Bats,1.8725,NA,0.00615,Artibeus_jamaicensis
Y,Mammalia,Chiroptera,Phyllostomidae,Brachyphylla nana,Antillean nectar bat,34.3,omnivore,8,326.4,NA,40.8,NA,4.2875,Bats,0.68,NA,0.0042875,Brachyphylla_nana
Y,Mammalia,Chiroptera,Phyllostomidae,Carollia perspicillata,Seba's short-tailed bat,50.3,frugivore/nectarivore,29,1153.2,NA,39.76551724,NA,1.734482759,Bats,0.662758621,NA,0.001734483,Carollia_perspicillata
Y,Mammalia,Chiroptera,Phyllostomidae,Leptonycteris curasoae,Southern long-nosed bat,23.3,frugivore/nectarivore,5,575,NA,115,NA,4.66,Bats,1.916666667,NA,0.00466,Leptonycteris_curasoae
Y,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus discolor,pale spear-nosed bat,35,omnivore,6,201.6,NA,33.6,NA,5.833333333,Bats,0.56,NA,0.005833333,Phyllostomus_discolor
Y,Mammalia,Chiroptera,Phyllostomidae,Sturnira lilium,little yellow-shouldered bat,61.7,frugivore/nectarivore,13,1375.4,NA,105.8,NA,4.746153846,Bats,1.763333333,NA,0.004746154,Sturnira_lilium
Y,Mammalia,Chiroptera,Pteropodidae,Cynopterus brachyotis,Lesser Short-nosed Fruit Bat,37.3,frugivore/nectarivore,10,130,NA,13,NA,3.73,Bats,0.216666667,NA,0.00373,Cynopterus_brachyotis
Y,Mammalia,Chiroptera,Pteropodidae,Cynopterus sphinx,Greater short-nosed fruit bat,75.3,frugivore/nectarivore,7,2809.8,NA,401.4,NA,10.75714286,Bats,6.69,NA,0.010757143,Cynopterus_sphinx
Y,Mammalia,Chiroptera,Pteropodidae,Eidolon helvum,Straw-colored fruit bat,270.65,frugivore/nectarivore,20,2320,NA,116,NA,13.5325,Bats,1.933333333,NA,0.0135325,Eidolon_helvum
Y,Mammalia,Chiroptera,Pteropodidae,Epomops buettikoferi,Buettikofer's epauletted fruit bat ,136,frugivore/nectarivore,1,69,NA,69,NA,136,Bats,1.15,NA,0.136,Epomops_franqueti
Y,Mammalia,Chiroptera,Pteropodidae,Lissonycteris angolensis,Angolan rousette,58.5,frugivore/nectarivore,1,50,NA,50,NA,58.5,Bats,0.833333333,NA,0.0585,Lissonycteris_angolensis
Y,Mammalia,Chiroptera,Pteropodidae,Myonycteris torquata,little collared fruit bat,48,frugivore/nectarivore,1,28,NA,28,NA,48,Bats,0.466666667,NA,0.048,Myonycteris_torquata
Y,Mammalia,Chiroptera,Pteropodidae,Nyctimene rabori,Philippine tube-nosed fruit bat,75,frugivore/nectarivore,3,172.5,NA,57.5,NA,25,Bats,0.958333333,NA,0.025,Nyctimene
Y,Mammalia,Chiroptera,Pteropodidae,Ptenochirus jagorii,Greater musky fruit bat,79.5,frugivore/nectarivore,5,287.5,NA,57.5,NA,15.9,Bats,0.958333333,NA,0.0159,Ptenochirus_jagorii
Y,Mammalia,Chiroptera,Pteropodidae,Pteropus alecto,Black flying fox,540,frugivore/nectarivore,1,30,NA,30,NA,540,Bats,0.5,NA,0.54,Pteropus_alecto
Y,Mammalia,Chiroptera,Pteropodidae,Pteropus poliocephalus,Grey-headed flying fox,692,frugivore/nectarivore,1,28.5,NA,28.5,NA,692,Bats,0.475,NA,0.692,Pteropus_poliocephalus
Y,Mammalia,Chiroptera,Pteropodidae,Pteropus rufus,Madagascan Flying Fox,625,frugivore/nectarivore,4,120,120,30,30,156.25,Bats,0.5,0.5,0.15625,Pteropus_rufus
Y,Mammalia,Chiroptera,Pteropodidae,Rousettus aegyptiacus,Egyptian fruit bat,127.5,frugivore/nectarivore,1,20,NA,20,NA,127.5,Bats,0.333333333,NA,0.1275,Rousettus_aegyptiacus
Y,Mammalia,Chiroptera,Pteropodidae,Scotonycteris zenkeri,Zenker's fruit bat,20.5,frugivore/nectarivore,1,24,NA,24,NA,20.5,Bats,0.4,NA,0.0205,Scotonycteris_zenkeri
Y,Mammalia,Chiroptera,Pteropodidae,Syconycteris australis,Common blossum bat,39.4,frugivore/nectarivore,6,399,639,66.5,106.5,6.566666667,Bats,1.108333333,1.775,0.006566667,Syconycteris_australis
Y,Mammalia,Chiroptera,Vespertilionidae,Eptesicus fuscus,Big Brown Bat,17.23,insectivore,22,2684,NA,122,NA,0.783181818,Bats,2.033333333,NA,0.000783182,Vespertilionidae
Y,Mammalia,Chiroptera,Vespertilionidae,Eptesicus serotinus,Serotine bat,23.1,insectivore,5,440,870,88,174,4.62,Bats,1.466666667,2.9,0.00462,Eptesicus_serotinus
Y,Mammalia,Chiroptera,Vespertilionidae,Myotis bechsteinii,Bechstein's bat,8,insectivore,5,475,1545,95,309,1.6,Bats,1.583333333,5.15,0.0016,Myotis_bechsteinii
Y,Mammalia,Chiroptera,Vespertilionidae,Myotis daubentonii,Daubenton's bat,7.6,insectivore,17,1530,3094,90,182,0.447058824,Bats,1.5,3.033333333,0.000447059,Myotis_daubentonii
Y,Mammalia,Chiroptera,Vespertilionidae,Myotis lucifugus,little brown bat,9.5,insectivore,2,205,NA,102.5,NA,4.75,Bats,1.708333333,NA,0.00475,Myotis_lucifugus
Y,Mammalia,Chiroptera,Vespertilionidae,Myotis myotis,Greater mouse-eared bat,46.8,insectivore,17,836,984,49.17647059,57.88235294,2.752941176,Bats,0.819607843,0.964705882,0.002752941,Myotis_myotis
Y,Mammalia,Chiroptera,Vespertilionidae,Myotis nattereri,Natterer's bat,6.8,insectivore,3,231,564,77,188,2.266666667,Bats,1.283333333,3.133333333,0.002266667,Myotis_nattereri
Y,Mammalia,Chiroptera,Vespertilionidae,Nyctalus leisleri,Lesser Noctule,12.5,insectivore,3,612,777,204,259,4.166666667,Bats,3.4,4.316666667,0.004166667,Nyctalus_leisleri
Y,Mammalia,Chiroptera,Vespertilionidae,Nyctalus noctula,Noctule,54.5,insectivore,10,658,2655,65.8,265.5,5.45,Bats,1.096666667,4.425,0.00545,Nyctalus_noctula
Y,Mammalia,Chiroptera,Vespertilionidae,Nyctophilus gouldi,Gould's long-eared bat,9,insectivore,36,2027.999988,NA,56.333333,NA,0.25,Bats,0.938888883,NA,0.00025,Nyctophilus_gouldi
Y,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus pipistrellus,Common pipistrelle,5.1,insectivore,7,483,1778,69,254,0.728571429,Bats,1.15,4.233333333,0.000728571,Pipistrellus_pipistrellus
Y,Mammalia,Chiroptera,Vespertilionidae,Plecotus auritus,Brown long-eared bat,6.9,insectivore,6,552,792,92,132,1.15,Bats,1.533333333,2.2,0.00115,Plecotus_auritus
Y,Mammalia,Chiroptera,Vespertilionidae,Vespertilio murinus,Parti-colored bat,14.3,insectivore,5,510,1210,102,242,2.86,Bats,1.7,4.033333333,0.00286,Vespertilio_murinus
